genes,Description
Nbe.v1.s00130g28310,Belongs to the peroxidase family. Classical plant (class III) peroxidase subfamily
Nbe.v1.s00130g28320,XPC-binding domain
Nbe.v1.s00130g28340,protein kinase activity
Nbe.v1.s00130g28350,-
Nbe.v1.s00130g28360,DNA-binding domain in plant proteins such as APETALA2 and EREBPs
Nbe.v1.s00130g28370,-
Nbe.v1.s00130g28380,IPP transferase
Nbe.v1.s00130g28420,-
Nbe.v1.s00130g28430,-
Nbe.v1.s00130g28450,B-box zinc finger
Nbe.v1.s00130g28470,-
Nbe.v1.s00130g28480,Methylketone synthase
Nbe.v1.s00130g28490,Plant protein of unknown function (DUF639)
Nbe.v1.s00130g28500,Plant protein of unknown function (DUF639)
Nbe.v1.s00130g28510,helix loop helix domain
Nbe.v1.s00130g28530,Transcription factor
Nbe.v1.s00130g28540,Protein of unknown function (DUF1639)
Nbe.v1.s00130g28550,Protein of unknown function (DUF1639)
Nbe.v1.s00130g28560,Cotton fibre expressed protein
Nbe.v1.s00130g28570,Chaperone protein DNAj
Nbe.v1.s00130g28580,Wall-associated receptor kinase C-terminal
Nbe.v1.s00130g28590,serine threonine-protein kinase
Nbe.v1.s00130g28600,Belongs to the 'GDSL' lipolytic enzyme family
Nbe.v1.s00130g28610,Reverse transcriptase-like
Nbe.v1.s00130g28630,serine threonine-protein kinase
Nbe.v1.s00130g28640,"ATPase activity, coupled to transmembrane movement of substances"
Nbe.v1.s00130g28650,helix loop helix domain
Nbe.v1.s00130g28670,isoform X1
Nbe.v1.s00130g28680,PB1 domain
Nbe.v1.s00130g28690,B-Box-type zinc finger
Nbe.v1.s00130g28710,late blight resistance protein homolog
Nbe.v1.s00130g28720,late blight resistance protein homolog
Nbe.v1.s00130g28730,late blight resistance protein homolog
Nbe.v1.s00130g28740,Protein FAR1-RELATED SEQUENCE
Nbe.v1.s00130g28750,Trafficking protein particle complex subunit 6B
Nbe.v1.s00130g28760,late blight resistance protein homolog
Nbe.v1.s00130g28770,"Zinc finger, C3HC4 type (RING finger)"
Nbe.v1.s00130g28780,Helicase associated domain (HA2)  Add an annotation
Nbe.v1.s00130g28790,MatE
Nbe.v1.s00130g28800,Potato inhibitor I family
Nbe.v1.s00130g28820,DNA RNA polymerases superfamily protein
Nbe.v1.s00130g28830,Produces ATP from ADP in the presence of a proton gradient across the membrane
Nbe.v1.s00130g28840,Transcription factor UNE12-like
Nbe.v1.s00130g28850,ALG-2 interacting protein
Nbe.v1.s00130g28860,Belongs to the 'GDSL' lipolytic enzyme family
Nbe.v1.s00130g28880,Domain of unknown function (DUF4228)
Nbe.v1.s00130g28890,60S ribosomal protein
Nbe.v1.s00130g28900,EamA-like transporter family
Nbe.v1.s00130g28930,-
Nbe.v1.s00130g28940,Protein of unknown function (DUF3675)
Nbe.v1.s00130g28950,Sulfhydryl oxidase
Nbe.v1.s00130g28970,hTAFII28-like protein conserved region
Nbe.v1.s00130g28980,Polyphenol oxidase
Nbe.v1.s00130g28990,Ribose 5-phosphate isomerase A (phosphoriboisomerase A)
Nbe.v1.s00130g29000,Encoded by
Nbe.v1.s00130g29010,Protein FAR1-RELATED SEQUENCE
Nbe.v1.s00130g29020,-
Nbe.v1.s00130g29040,-
Nbe.v1.s00130g29060,-
Nbe.v1.s00130g29070,Heavy metal-associated isoprenylated plant protein
Nbe.v1.s00130g29080,gag-polypeptide of LTR copia-type
Nbe.v1.s00130g29090,Modified RING finger domain
Nbe.v1.s00130g29100,Phosphatidylinositol-4-phosphate 5-Kinase
Nbe.v1.s00130g29110,SMP-30/Gluconolaconase/LRE-like region
Nbe.v1.s00130g29130,leucine-rich repeat extensin-like protein
Nbe.v1.s00130g29140,-
Nbe.v1.s00130g29160,May act as a component of the auxin efflux carrier
Nbe.v1.s00130g29180,Mitogen-activated protein kinase
Nbe.v1.s00130g29200,-
Nbe.v1.s00130g29210,sulfate transporter 3.3
Nbe.v1.s00130g29220,Domain in histone families 1 and 5
Nbe.v1.s00130g29230,clathrin light chain binding
Nbe.v1.s00130g29240,Sn-1 protein
Nbe.v1.s00130g29250,Sn-1 protein
Nbe.v1.s00130g29270,-
Nbe.v1.s00130g29280,Major latex
Nbe.v1.s00130g29300,multicellular organism development
Nbe.v1.s00130g29320,multicellular organism development
Nbe.v1.s00130g29330,Uncharacterized protein At4g22758-like
Nbe.v1.s00130g29360,Protein BCCIP homolog
Nbe.v1.s00130g29370,Epsin N-terminal homology (ENTH) domain
Nbe.v1.s00130g29380,Zein-binding
Nbe.v1.s00130g29390,Protein kinase domain
Nbe.v1.s00130g29400,Domain in histone families 1 and 5
Nbe.v1.s00130g29410,-
Nbe.v1.s00130g29420,Possibly involved in carbohydrate binding
Nbe.v1.s00130g29440,Salt stress response/antifungal
Nbe.v1.s00130g29450,Caleosin related protein
Nbe.v1.s00130g29460,non-haem dioxygenase in morphine synthesis N-terminal
Nbe.v1.s00130g29490,Belongs to the ubiquitin-conjugating enzyme family
Nbe.v1.s00130g29510,function
Nbe.v1.s00130g29520,non-haem dioxygenase in morphine synthesis N-terminal
Nbe.v1.s00130g29530,-
Nbe.v1.s00130g29540,EF-hand domain
Nbe.v1.s00130g29550,Vacuolar protein 14 C-terminal Fig4p binding
Nbe.v1.s00130g29560,GH3 auxin-responsive promoter
Nbe.v1.s00130g29570,RING-H2 zinc finger domain
Nbe.v1.s00130g29580,Beta-Casp domain
Nbe.v1.s00130g29600,Rab subfamily of small GTPases
Nbe.v1.s00130g29640,Microtubule-associated protein 70
Nbe.v1.s00130g29650,cheY-homologous receiver domain
Nbe.v1.s00130g29660,late blight resistance protein homolog
Nbe.v1.s00130g29680,late blight resistance protein homolog
Nbe.v1.s00130g29690,late blight resistance protein homolog
Nbe.v1.s00130g29700,Vacuolar iron transporter 1
Nbe.v1.s00130g29710,-
Nbe.v1.s00130g29730,Belongs to the cyclin family
Nbe.v1.s00130g29740,"Dirigent proteins impart stereoselectivity on the phenoxy radical-coupling reaction, yielding optically active lignans from two molecules of coniferyl alcohol in the biosynthesis of lignans, flavonolignans, and alkaloids and thus plays a central role in plant secondary metabolism"
Nbe.v1.s00130g29750,PLATZ transcription factor
Nbe.v1.s00130g29760,cysteine-rich RLK (RECEPTOR-like protein kinase) 8
Nbe.v1.s00130g29770,cysteine-rich RLK (RECEPTOR-like protein kinase) 8
Nbe.v1.s00130g29780,cysteine-rich RLK (RECEPTOR-like protein kinase) 8
Nbe.v1.s00130g29790,Modified RING finger domain
Nbe.v1.s00130g29800,Modified RING finger domain
Nbe.v1.s00130g29810,CHASE
Nbe.v1.s00130g29840,Orf147a protein
Nbe.v1.s00130g29860,Zinc finger protein
Nbe.v1.s00130g29870,GRF zinc finger containing protein
Nbe.v1.s00130g29880,-
Nbe.v1.s00130g29890,"Catalyzes xyloglucan endohydrolysis (XEH) and or endotransglycosylation (XET). Cleaves and religates xyloglucan polymers, an essential constituent of the primary cell wall, and thereby participates in cell wall construction of growing tissues"
Nbe.v1.s00130g29900,Belongs to the glycosyl hydrolase 28 family
Nbe.v1.s00130g29910,function
Nbe.v1.s00130g29920,Pyridine nucleotide-disulphide oxidoreductase
Nbe.v1.s00130g29930,Hydroxyproline-rich glycoprotein family protein
Nbe.v1.s00130g29940,Purple acid phosphatase
Nbe.v1.s00130g29950,Annexin repeats
Nbe.v1.s00130g29960,Catalyzes the aldol cleavage of 4-hydroxy-4-methyl-2- oxoglutarate (HMG) into 2 molecules of pyruvate. Also contains a secondary oxaloacetate (OAA) decarboxylase activity due to the common pyruvate enolate transition state formed following C-C bond cleavage in the retro-aldol and decarboxylation reactions
Nbe.v1.s00130g29970,Microtubule associated protein (MAP65/ASE1 family)
Nbe.v1.s00130g29980,Domain in histone families 1 and 5
Nbe.v1.s00130g29990,ZIP Zinc transporter
Nbe.v1.s00130g30000,Clathrin assembly protein
Nbe.v1.s00130g30010,GAGA binding protein-like family
Nbe.v1.s00130g30020,PPR repeat family
Nbe.v1.s00130g30030,PHD-finger
Nbe.v1.s00130g30040,PHD-finger
Nbe.v1.s00130g30050,Domain of unknown function (DUF588)
Nbe.v1.s00130g30060,Belongs to the protein kinase superfamily. Ser Thr protein kinase family
Nbe.v1.s00130g30090,Aldo/keto reductase family
Nbe.v1.s00130g30110,Methyltransferase
Nbe.v1.s00130g30120,Belongs to the disease resistance NB-LRR family
Nbe.v1.s00130g30130,Belongs to the disease resistance NB-LRR family
Nbe.v1.s00130g30140,ADP binding
Nbe.v1.s00130g30150,Belongs to the disease resistance NB-LRR family
Nbe.v1.s00130g30160,K+ potassium transporter
Nbe.v1.s00130g30170,Myb family transcription factor At1g14600
Nbe.v1.s00130g30190,NADH dehydrogenase ubiquinone 1 beta subcomplex subunit 7-like
Nbe.v1.s00130g30200,UBX domain-containing protein
Nbe.v1.s00130g30210,Outer envelope pore protein 37
Nbe.v1.s00130g30220,gag-polypeptide of LTR copia-type
Nbe.v1.s00130g30230,spliceosomal complex assembly
Nbe.v1.s00130g30240,spliceosomal complex assembly
Nbe.v1.s00130g30270,UBX domain-containing protein
Nbe.v1.s00130g30280,Conserved gene of
Nbe.v1.s00130g30290,EF-hand domain
Nbe.v1.s00130g30300,UPF0481 protein
Nbe.v1.s00130g30310,tobamovirus multiplication
Nbe.v1.s00130g30320,isoform X1
Nbe.v1.s00130g30330,Zinc finger CCCH domain-containing protein
Nbe.v1.s00130g30340,Pentatricopeptide repeat-containing protein
Nbe.v1.s00130g30350,Pentatricopeptide repeat-containing protein
Nbe.v1.s00130g30360,Ankyrin repeats (many copies)
Nbe.v1.s00130g30370,Belongs to the peroxidase family. Classical plant (class III) peroxidase subfamily
Nbe.v1.s00130g30380,Replication Fork Protection Component Swi3
Nbe.v1.s00130g30390,histone acetyltransferase
Nbe.v1.s00130g30400,Protein kinase C conserved region 2 (CalB)
Nbe.v1.s00130g30410,"Involved in autophagy and cytoplasm to vacuole transport (Cvt) vesicle formation. Plays a key role in the organization of the preautophagosomal structure phagophore assembly site (PAS), the nucleating site for formation of the sequestering vesicle"
Nbe.v1.s00130g30420,Uncharacterized protein K02A2.6-like
Nbe.v1.s00130g30430,Leucine rich repeat N-terminal domain
Nbe.v1.s00130g30440,"Putative GTP-ase activating proteins for the small GTPase, ARF"
Nbe.v1.s00130g30450,Belongs to the iron ascorbate-dependent oxidoreductase family
Nbe.v1.s00130g30460,-
Nbe.v1.s00130g30470,DBC1
Nbe.v1.s00130g30480,-
Nbe.v1.s00130g30490,Protein of unknown function (DUF3755)
Nbe.v1.s00130g30500,pre-mRNA-processing protein
Nbe.v1.s00130g30510,-
Nbe.v1.s00130g30520,alpha-galactosidase
Nbe.v1.s00130g30530,UPF0481 protein
Nbe.v1.s00130g30550,"Pyruvate kinase, alpha/beta domain"
Nbe.v1.s00130g30560,"Pyruvate kinase, alpha/beta domain"
Nbe.v1.s00130g30570,"May regulate transcription elongation by RNA polymerase II. May enhance transcriptional pausing at sites proximal to the promoter, which may in turn facilitate the assembly of an elongation competent RNA polymerase II complex"
Nbe.v1.s00130g30580,GHMP kinases C terminal
Nbe.v1.s00130g30590,Conserved gene of
Nbe.v1.s00130g30600,Mitochondrial intermembrane space import and assembly protein
Nbe.v1.s00130g30610,NAD(P)H-binding
Nbe.v1.s00130g30620,Ribosomal protein L1p/L10e family
Nbe.v1.s00130g30630,-
Nbe.v1.s00130g30640,Belongs to the eukaryotic ribosomal protein eS26 family
Nbe.v1.s00130g30650,high mobility group
Nbe.v1.s00130g30660,leucine-rich repeat receptor-like protein kinase At1g35710
Nbe.v1.s00130g30680,Frigida-like protein
Nbe.v1.s00130g30690,Eukaryotic aspartyl protease
Nbe.v1.s00130g30700,Belongs to the class I-like SAM-binding methyltransferase superfamily. Protein arginine N- methyltransferase family
Nbe.v1.s00130g30720,Splicing factor 3B subunit 10 (SF3b10)
Nbe.v1.s00130g30730,UPF0481 protein
Nbe.v1.s00130g30740,GEM-like protein 8
Nbe.v1.s00130g30750,GEM-like protein 8
Nbe.v1.s00130g30760,GEM-like protein 8
Nbe.v1.s00130g30770,GEM-like protein 8
Nbe.v1.s00130g30780,Leucine Rich repeat
Nbe.v1.s00130g30790,FAD synthetase
Nbe.v1.s00130g30800,non-haem dioxygenase in morphine synthesis N-terminal
Nbe.v1.s00130g30810,Pentatricopeptide repeat-containing protein
Nbe.v1.s00130g30820,Pentatricopeptide repeat-containing protein
Nbe.v1.s00130g30830,Pentatricopeptide repeat-containing protein
Nbe.v1.s00130g30840,protein-S-isoprenylcysteine O-methyltransferase
Nbe.v1.s00130g30850,Belongs to the UPP synthase family
Nbe.v1.s00130g30860,HAT (Half-A-TPR) repeats
Nbe.v1.s00130g30870,Belongs to the glyceraldehyde-3-phosphate dehydrogenase family
Nbe.v1.s00130g30880,E3 ubiquitin-protein ligase
Nbe.v1.s00130g30890,Transcription factor
Nbe.v1.s00130g30900,Reverse transcriptase (RNA-dependent DNA polymerase)
Nbe.v1.s00130g30910,Domain of unknown function (DUF4283)
Nbe.v1.s00130g30920,Chromo (CHRromatin Organisation MOdifier) domain
Nbe.v1.s00130g30930,DNA RNA polymerases superfamily protein
Nbe.v1.s00130g30940,female pronucleus assembly
Nbe.v1.s00130g30950,Belongs to the class-III pyridoxal-phosphate-dependent aminotransferase family
Nbe.v1.s00130g30960,Belongs to the disease resistance NB-LRR family
Nbe.v1.s00130g30970,Pentatricopeptide repeat domain
Nbe.v1.s00130g30980,Salt stress response/antifungal
Nbe.v1.s00130g30990,Salt stress response/antifungal
Nbe.v1.s00130g31010,-
Nbe.v1.s00130g31040,ATP-dependent Clp protease proteolytic subunit
Nbe.v1.s00130g31050,isoform X1
Nbe.v1.s00130g31060,60S ribosomal protein
Nbe.v1.s00130g31070,Lysin motif
Nbe.v1.s00130g31080,"transposition, RNA-mediated"
Nbe.v1.s00130g31100,"TB2/DP1, HVA22 family"
Nbe.v1.s00130g31110,Mitochondrial import inner membrane translocase subunit
Nbe.v1.s00130g31120,Mitochondrial import inner membrane translocase subunit
Nbe.v1.s00130g31130,purine permease
Nbe.v1.s00130g31140,purine permease
Nbe.v1.s00130g31150,purine permease
Nbe.v1.s00130g31160,Belongs to the peroxidase family. Classical plant (class III) peroxidase subfamily
Nbe.v1.s00130g31170,Belongs to the peroxidase family. Classical plant (class III) peroxidase subfamily
Nbe.v1.s00130g31190,Belongs to the peroxidase family. Classical plant (class III) peroxidase subfamily
Nbe.v1.s00130g31210,UPF0481 protein
Nbe.v1.s00130g31220,Indigoidine synthase A like protein
Nbe.v1.s00130g31240,serine threonine-protein kinase
Nbe.v1.s00130g31250,DEAD/DEAH box helicase
Nbe.v1.s00130g31260,DNA-directed RNA polymerases II
Nbe.v1.s00130g31270,Belongs to the DHHC palmitoyltransferase family
Nbe.v1.s00130g31290,"WD domain, G-beta repeat"
Nbe.v1.s00130g31300,Histidinol-phosphate aminotransferase
Nbe.v1.s00130g31310,Conserved gene of
Nbe.v1.s00130g31320,NPH3 family
Nbe.v1.s00130g31330,-
Nbe.v1.s00130g31340,Zn-finger in Ran binding protein and others
Nbe.v1.s00130g31350,aspartic-type endopeptidase activity
Nbe.v1.s00130g31360,-
Nbe.v1.s00130g31370,-
Nbe.v1.s00130g31380,Nucleotide exchange factor Fes1
Nbe.v1.s00130g31390,"transposition, RNA-mediated"
Nbe.v1.s00130g31400,Protein of unknown function (DUF1624)
Nbe.v1.s00130g31410,"Catalyzes xyloglucan endohydrolysis (XEH) and or endotransglycosylation (XET). Cleaves and religates xyloglucan polymers, an essential constituent of the primary cell wall, and thereby participates in cell wall construction of growing tissues"
Nbe.v1.s00130g31420,SNARE associated Golgi protein
Nbe.v1.s00130g31440,Belongs to the MCM family
Nbe.v1.s00130g31450,DHHC palmitoyltransferase
Nbe.v1.s00130g31460,ethylene-responsive transcription factor
Nbe.v1.s00130g31470,ethylene-responsive transcription factor
Nbe.v1.s00130g31480,-
Nbe.v1.s00130g31490,Protein FAR1-RELATED SEQUENCE
Nbe.v1.s00130g31500,-
Nbe.v1.s00130g31510,peptidyl-prolyl cis-trans isomerase
Nbe.v1.s00130g31520,Transaldolase/Fructose-6-phosphate aldolase
Nbe.v1.s00130g31540,"Component of the ubiquinol-cytochrome c reductase complex (complex III or cytochrome b-c1 complex), which is a respiratory chain that generates an electrochemical potential coupled to ATP synthesis"
Nbe.v1.s00130g31560,WHEP-TRS
Nbe.v1.s00130g31580,-
Nbe.v1.s00130g31590,"The proteasome is a multicatalytic proteinase complex which is characterized by its ability to cleave peptides with Arg, Phe, Tyr, Leu, and Glu adjacent to the leaving group at neutral or slightly basic pH"
Nbe.v1.s00130g31600,"PsbP domain-containing protein 2, chloroplastic"
Nbe.v1.s00130g31610,NAD-dependent protein deacylase. Catalyzes the NAD- dependent hydrolysis of acyl groups from lysine residues
Nbe.v1.s00130g31620,No apical meristem (NAM) protein
Nbe.v1.s00130g31630,KIX domain
Nbe.v1.s00130g31640,Transcription cofactor
Nbe.v1.s00130g31660,Protein of unknown function (DUF724)
Nbe.v1.s00130g31670,Protein of unknown function (DUF724)
Nbe.v1.s00130g31680,Nuclear transcription factor Y subunit
Nbe.v1.s00130g31690,RING/Ubox like zinc-binding domain
Nbe.v1.s00130g31710,"Glutathione S-transferase, C-terminal domain"
Nbe.v1.s00130g31720,Ribosomal protein L10
Nbe.v1.s00130g31730,LisH
Nbe.v1.s00130g31740,"Domain in Tre-2, BUB2p, and Cdc16p. Probable Rab-GAPs."
Nbe.v1.s00130g31750,"transposition, RNA-mediated"
Nbe.v1.s00130g31760,Belongs to the CDP-alcohol phosphatidyltransferase class-I family
Nbe.v1.s00130g31770,TRAF-type zinc finger
Nbe.v1.s00130g31790,"N-terminal barrel of NtMGAM and CtMGAM, maltase-glucoamylase"
Nbe.v1.s00130g31800,"Dual specificity phosphatase, catalytic domain"
Nbe.v1.s00130g31810,Ferredoxins are iron-sulfur proteins that transfer electrons in a wide variety of metabolic reactions
Nbe.v1.s00130g31820,Exo70 exocyst complex subunit
Nbe.v1.s00130g31830,Core-2/I-Branching enzyme
Nbe.v1.s00130g31840,DnaJ central domain
Nbe.v1.s00130g31850,RING-type zinc-finger
Nbe.v1.s00130g31860,N-terminal C2 in EEIG1 and EHBP1 proteins
Nbe.v1.s00130g31870,Calcium-dependent protein kinase
Nbe.v1.s00130g31890,"May function in recognizing stalled ribosomes and triggering endonucleolytic cleavage of the mRNA, a mechanism to release non-functional ribosomes and degrade damaged mRNAs"
Nbe.v1.s00130g31900,GRF1-interacting factor 1
Nbe.v1.s00130g31910,Retrotransposon gag protein
Nbe.v1.s00130g31920,VQ motif
Nbe.v1.s00130g31930,YL1 nuclear protein
Nbe.v1.s00130g31940,c-Myc-binding protein
Nbe.v1.s00130g31950,Protein NRT1 PTR FAMILY
Nbe.v1.s00130g31980,Belongs to the protein kinase superfamily
Nbe.v1.s00130g31990,Belongs to the protein kinase superfamily
Nbe.v1.s00130g32010,Belongs to the protein kinase superfamily
Nbe.v1.s00130g32020,Belongs to the glycosyltransferase 8 family
Nbe.v1.s00130g32030,Bifunctional phosphatase IMPL2
Nbe.v1.s00130g32040,Belongs to the cytochrome P450 family
Nbe.v1.s00130g32050,Protein CHAPERONE-LIKE PROTEIN OF POR1-like
Nbe.v1.s00130g32060,pre-mRNA splicing factor component
Nbe.v1.s00130g32070,low-specificity L-threonine aldolase 1
Nbe.v1.s00130g32080,SWIM zinc finger family protein
Nbe.v1.s00130g32090,light-dependent short hypocotyls
Nbe.v1.s00130g32100,"'FY-rich' domain, C-terminal region"
Nbe.v1.s00130g32110,RNA-binding protein 42-like
Nbe.v1.s00130g32120,PPR repeat
Nbe.v1.s00130g32130,Pentatricopeptide repeat-containing protein
Nbe.v1.s00130g32140,EF-hand domain pair
Nbe.v1.s00130g32150,Diphthamide synthase
Nbe.v1.s00130g32160,"Transcription initiation factor IID, 31kD subunit"
Nbe.v1.s00130g32170,Nucleolar protein
Nbe.v1.s00130g32180,Ribonuclease H protein
Nbe.v1.s00130g32200,CT11-RanBPM
Nbe.v1.s00130g32210,Conserved gene of
Nbe.v1.s00130g32240,ABC transporter
Nbe.v1.s00130g32250,-
Nbe.v1.s00130g32260,membrane-associated kinase regulator 4
Nbe.v1.s00130g32270,Pectate lyase
Nbe.v1.s00130g32280,60S ribosomal Protein
Nbe.v1.s00130g32290,Alpha/beta hydrolase family
Nbe.v1.s00130g32300,Mono-functional DNA-alkylating methyl methanesulfonate N-term
Nbe.v1.s00130g32310,"Dirigent proteins impart stereoselectivity on the phenoxy radical-coupling reaction, yielding optically active lignans from two molecules of coniferyl alcohol in the biosynthesis of lignans, flavonolignans, and alkaloids and thus plays a central role in plant secondary metabolism"
Nbe.v1.s00130g32320,"Dirigent proteins impart stereoselectivity on the phenoxy radical-coupling reaction, yielding optically active lignans from two molecules of coniferyl alcohol in the biosynthesis of lignans, flavonolignans, and alkaloids and thus plays a central role in plant secondary metabolism"
